"Salary.Frequency","Salary.Range.From","Salary.Range.To","Posting.Type","Level","X..Of.Positions","Civil.Service.Title","Agency"
"Annual",48764,60000,"Internal","02",1,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",48764,60000,"External","02",1,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",62671,80000,"Internal","03",1,"BUSINESS PROMOTION COORDINATOR","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,119000,"External","04",2,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",52000,52000,"Internal","00",1,"ENVIRONMENTAL ENGINEERING INTE","DEPT OF ENVIRONMENT PROTECTION"
"Annual",58617,80988,"Internal","02",1,"MANAGEMENT AUDITOR","DEPARTMENT OF FINANCE"
"Annual",38223,57573,"External","01",10,"INVESTIGATOR (CCRB)","CIVILIAN COMPLAINT REVIEW BD"
"Annual",38223,57573,"Internal","01",10,"INVESTIGATOR (CCRB)","CIVILIAN COMPLAINT REVIEW BD"
"Annual",48895,75900,"External","00",1,"COMMUNITY COORDINATOR","DEPARTMENT OF INVESTIGATION"
"Annual",62671,80000,"External","03",1,"BUSINESS PROMOTION COORDINATOR","DEPT OF INFO TECH & TELECOMM"
"Annual",75000,100000,"Internal","00",1,"IT PROJECT SPECIALIST","DEPT OF INFO TECH & TELECOMM"
"Annual",75000,100000,"External","00",1,"IT PROJECT SPECIALIST","DEPT OF INFO TECH & TELECOMM"
"Annual",75000,95000,"Internal","00",1,"IT PROJECT SPECIALIST","DEPT OF INFO TECH & TELECOMM"
"Annual",75000,95000,"External","00",1,"IT PROJECT SPECIALIST","DEPT OF INFO TECH & TELECOMM"
"Annual",48895,75900,"Internal","00",1,"COMMUNITY COORDINATOR","DEPARTMENT OF INVESTIGATION"
"Daily",262,262,"Internal","00",1,"CITY LABORER","FIRE DEPARTMENT"
"Daily",262,262,"External","00",1,"CITY LABORER","FIRE DEPARTMENT"
"Annual",102000,112000,"Internal","04",1,"COMPUTER SPECIALIST (SOFTWARE)","HOUSING PRESERVATION & DVLPMNT"
"Annual",61031,95022,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","POLICE DEPARTMENT"
"Annual",58675,156793,"Internal","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",58675,156793,"External","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",44621,70825,"Internal","00",1,"HUMAN RIGHTS SPECIALIST (COMM","HUMAN RIGHTS COMMISSION"
"Annual",53051,145991,"External","M1",1,"ADMINISTRATIVE PUBLIC INFORMAT","DEPT OF ENVIRONMENT PROTECTION"
"Annual",53051,145991,"Internal","M1",1,"ADMINISTRATIVE PUBLIC INFORMAT","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",32,37,"Internal","01",8,"PUBLIC HEALTH NURSE (SCHOOL HE","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",32,37,"External","01",8,"PUBLIC HEALTH NURSE (SCHOOL HE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",44621,70825,"External","00",1,"HUMAN RIGHTS SPECIALIST (COMM","HUMAN RIGHTS COMMISSION"
"Annual",34644,57655,"External","00",1,"COMMUNITY ASSOCIATE","HUMAN RIGHTS COMMISSION"
"Annual",34644,57655,"Internal","00",1,"COMMUNITY ASSOCIATE","HUMAN RIGHTS COMMISSION"
"Annual",34644,57655,"External","00",1,"COMMUNITY ASSOCIATE","HUMAN RIGHTS COMMISSION"
"Annual",34644,57655,"Internal","00",1,"COMMUNITY ASSOCIATE","HUMAN RIGHTS COMMISSION"
"Annual",68239,80000,"Internal","02",1,"CITY RESEARCH SCIENTIST","DEPARTMENT OF FINANCE"
"Annual",89383,115000,"External","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",68239,80000,"External","02",1,"CITY RESEARCH SCIENTIST","DEPARTMENT OF FINANCE"
"Annual",94983,94983,"External","00",2,"STATIONARY ENGINEER (ELECTRIC)","DEPT OF ENVIRONMENT PROTECTION"
"Annual",94983,94983,"Internal","00",2,"STATIONARY ENGINEER (ELECTRIC)","DEPT OF ENVIRONMENT PROTECTION"
"Annual",46577,53563,"External","00",1,"PROJECT MANAGER INTERN#","DEPT OF ENVIRONMENT PROTECTION"
"Hourly",74,106,"Internal","04",1,"CITY MEDICAL SPECIALIST (PART-","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",74,106,"External","04",1,"CITY MEDICAL SPECIALIST (PART-","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53056,82557,"Internal","00",1,"RESIDENT BUILDING SUPERINTENDE","NYC HOUSING AUTHORITY"
"Annual",40000,50000,"External","00",1,"COMMUNITY ASSOCIATE","DEPARTMENT OF INVESTIGATION"
"Annual",40000,50000,"Internal","00",1,"COMMUNITY ASSOCIATE","DEPARTMENT OF INVESTIGATION"
"Annual",46577,53563,"Internal","00",1,"PROJECT MANAGER INTERN#","DEPT OF ENVIRONMENT PROTECTION"
"Annual",48895,75900,"Internal","00",1,"COMMUNITY COORDINATOR","DEPARTMENT FOR THE AGING"
"Annual",48895,75900,"External","00",1,"COMMUNITY COORDINATOR","DEPARTMENT FOR THE AGING"
"Annual",57005,87027,"External","01",1,"AGENCY ATTORNEY","HUMAN RIGHTS COMMISSION"
"Annual",57005,87027,"Internal","01",1,"AGENCY ATTORNEY","HUMAN RIGHTS COMMISSION"
"Annual",57005,87027,"Internal","01",1,"AGENCY ATTORNEY","HUMAN RIGHTS COMMISSION"
"Annual",57005,87027,"External","01",1,"AGENCY ATTORNEY","HUMAN RIGHTS COMMISSION"
"Annual",61237,88686,"External","01",1,"ASSOCIATE PROJECT MANAGER","POLICE DEPARTMENT"
"Annual",61237,88686,"Internal","01",1,"ASSOCIATE PROJECT MANAGER","POLICE DEPARTMENT"
"Annual",89383,115000,"Internal","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",75000,90000,"Internal","00",1,"IT SERVICE MANAGEMENT SPECIALI","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",56257,68304,"Internal","00",1,"AGENCY ATTORNEY INTERNE","HUMAN RIGHTS COMMISSION"
"Annual",56257,68304,"External","00",1,"AGENCY ATTORNEY INTERNE","HUMAN RIGHTS COMMISSION"
"Annual",53051,145991,"External","M1",1,"ADMINISTRATIVE BUSINESS PROMOT","DEPARTMENT OF BUSINESS SERV."
"Annual",53051,145991,"Internal","M1",1,"ADMINISTRATIVE BUSINESS PROMOT","DEPARTMENT OF BUSINESS SERV."
"Annual",75000,85000,"External","01",1,"COMPUTER SPECIALIST (SOFTWARE)","HOUSING PRESERVATION & DVLPMNT"
"Annual",75000,90000,"External","00",1,"IT SERVICE MANAGEMENT SPECIALI","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",89383,115000,"External","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,115000,"Internal","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",75000,85000,"Internal","01",1,"COMPUTER SPECIALIST (SOFTWARE)","HOUSING PRESERVATION & DVLPMNT"
"Annual",100000,140000,"Internal","M1",1,"EXECUTIVE AGENCY COUNSEL","HOUSING PRESERVATION & DVLPMNT"
"Annual",100000,140000,"External","M1",1,"EXECUTIVE AGENCY COUNSEL","HOUSING PRESERVATION & DVLPMNT"
"Annual",90000,140000,"Internal","M4",1,"ADMINISTRATIVE DIRECTOR OF SOC","ADMIN FOR CHILDREN'S SVCS"
"Annual",90000,140000,"External","M4",1,"ADMINISTRATIVE DIRECTOR OF SOC","ADMIN FOR CHILDREN'S SVCS"
"Annual",48895,75900,"Internal","00",1,"COMMUNITY COORDINATOR","DEPT OF DESIGN & CONSTRUCTION"
"Annual",83323,105000,"External","03",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",83323,105000,"Internal","03",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",83323,105000,"Internal","03",2,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",48895,75900,"External","00",1,"COMMUNITY COORDINATOR","DEPT OF DESIGN & CONSTRUCTION"
"Annual",48410,60000,"Internal","00",50,"INSPECTOR (CONSTRUCTION)","DEPARTMENT OF BUILDINGS"
"Annual",48410,60000,"External","00",50,"INSPECTOR (CONSTRUCTION)","DEPARTMENT OF BUILDINGS"
"Annual",47951,62000,"Internal","02",1,"PRINCIPAL ADMINISTRATIVE ASSOC","DEPARTMENT OF FINANCE"
"Annual",83323,105000,"External","03",2,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,123773,"External","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,123773,"Internal","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,115000,"External","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,115000,"Internal","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,115000,"Internal","04",3,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,115000,"External","04",2,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",89383,115000,"Internal","04",2,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",100000,125000,"Internal","00",1,"SENIOR IT ARCHITECT","FIRE DEPARTMENT"
"Annual",100000,125000,"External","00",1,"SENIOR IT ARCHITECT","FIRE DEPARTMENT"
"Annual",89383,115000,"External","04",3,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",58675,140000,"Internal","M2",1,"COMPUTER SYSTEMS MANAGER","FIRE DEPARTMENT"
"Annual",58675,140000,"External","M2",1,"COMPUTER SYSTEMS MANAGER","FIRE DEPARTMENT"
"Annual",100000,150000,"Internal","M4",1,"EXECUTIVE PROGRAM SPECIALIST (","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",100000,150000,"External","M4",1,"EXECUTIVE PROGRAM SPECIALIST (","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",100000,188665,"External","M5",1,"ADMINISTRATIVE CITY PLANNER","TAXI & LIMOUSINE COMMISSION"
"Annual",100000,188665,"Internal","M5",1,"ADMINISTRATIVE CITY PLANNER","TAXI & LIMOUSINE COMMISSION"
"Annual",74066,92308,"Internal","01",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPARTMENT OF SANITATION"
"Annual",74066,92308,"External","01",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPARTMENT OF SANITATION"
"Annual",37492,59863,"Internal","01",3,"CLAIM SPECIALIST","LAW DEPARTMENT"
"Annual",37492,59863,"Internal","01",3,"CLAIM SPECIALIST","LAW DEPARTMENT"
"Annual",50000,60000,"Internal","00",5,"COMMUNITY COORDINATOR","DEPT OF PARKS & RECREATION"
"Annual",48997,73188,"Internal","02",2,"PUBLIC HEALTH SANITARIAN","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",58675,156793,"External","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",58675,156793,"Internal","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",46303,63929,"Internal","01",2,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",50000,60000,"Internal","00",5,"COMMUNITY COORDINATOR","DEPT OF PARKS & RECREATION"
"Annual",53051,100000,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",50000,60000,"External","00",5,"COMMUNITY COORDINATOR","DEPT OF PARKS & RECREATION"
"Annual",49796,49796,"Internal","01",10,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",49796,49796,"External","01",10,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45385,61669,"External","01",1,"ACCOUNTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",46303,63929,"External","01",2,"COMPUTER PROGRAMMER ANALYST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",37492,59863,"Internal","00",3,"INVESTIGATOR","POLICE DEPARTMENT"
"Annual",58675,156793,"External","M2",1,"ADMINISTRATIVE ENGINEER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",58675,156793,"Internal","M2",1,"ADMINISTRATIVE ENGINEER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",61237,88686,"External","01",1,"ASSOCIATE PROJECT MANAGER","DEPARTMENT OF SANITATION"
"Annual",45385,61669,"Internal","01",1,"ACCOUNTANT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",72805,101148,"Internal","02",4,"CIVIL ENGINEER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",61237,88686,"External","01",1,"ASSOCIATE PROJECT MANAGER","DEPARTMENT OF SANITATION"
"Annual",61237,88686,"Internal","01",1,"ASSOCIATE PROJECT MANAGER","DEPARTMENT OF SANITATION"
"Annual",66499,85752,"Internal","00",3,"ASSISTANT CORPORATION COUNSEL","LAW DEPARTMENT"
"Annual",66499,85752,"External","00",3,"ASSISTANT CORPORATION COUNSEL","LAW DEPARTMENT"
"Annual",53051,100000,"External","M1",1,"COMPUTER SYSTEMS MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",57976,72070,"Internal","02",1,"BUSINESS PROMOTION COORDINATOR","DEPARTMENT OF BUSINESS SERV."
"Annual",72805,101148,"Internal","02",1,"CIVIL ENGINEER","DEPARTMENT OF SANITATION"
"Annual",72805,101148,"External","02",1,"CIVIL ENGINEER","DEPARTMENT OF SANITATION"
"Annual",53051,145991,"External","M1",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",53051,145991,"Internal","M1",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",57976,72070,"External","02",1,"BUSINESS PROMOTION COORDINATOR","DEPARTMENT OF BUSINESS SERV."
"Annual",38251,65771,"External","01",1,"BUSINESS PROMOTION COORDINATOR","DEPARTMENT OF BUSINESS SERV."
"Annual",38251,65771,"Internal","01",1,"BUSINESS PROMOTION COORDINATOR","DEPARTMENT OF BUSINESS SERV."
"Annual",100000,140000,"External","M1",1,"EXECUTIVE AGENCY COUNSEL","HOUSING PRESERVATION & DVLPMNT"
"Annual",100000,140000,"Internal","M1",1,"EXECUTIVE AGENCY COUNSEL","HOUSING PRESERVATION & DVLPMNT"
"Annual",48620,66195,"Internal","01",1,"STAFF ANALYST","POLICE DEPARTMENT"
"Annual",57969,70142,"Internal","01",1,"CITY RESEARCH SCIENTIST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",57969,70142,"External","01",1,"CITY RESEARCH SCIENTIST","DEPT OF ENVIRONMENT PROTECTION"
"Annual",53051,82000,"Internal","M1",1,"ADMINISTRATIVE DIRECTOR OF SOC","HRA/DEPT OF SOCIAL SERVICES"
"Annual",38251,65771,"External","01",1,"BUSINESS PROMOTION COORDINATOR","DEPARTMENT OF BUSINESS SERV."
"Annual",38251,65771,"Internal","01",1,"BUSINESS PROMOTION COORDINATOR","DEPARTMENT OF BUSINESS SERV."
"Annual",46466,56270,"Internal","00",1,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",46466,56270,"External","00",1,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",46466,56270,"External","00",1,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",46466,56270,"Internal","00",1,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",53051,82000,"External","M1",1,"ADMINISTRATIVE DIRECTOR OF SOC","HRA/DEPT OF SOCIAL SERVICES"
"Hourly",33,38,"Internal","02",1,"PUBLIC HEALTH NURSE","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",33,38,"External","02",1,"PUBLIC HEALTH NURSE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,145991,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","FIRE DEPARTMENT"
"Annual",53051,100000,"External","M1",1,"COMPUTER SYSTEMS MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",53051,100000,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",35213,40495,"Internal","00",1,"STUDENT LEGAL SPECIALIST","LAW DEPARTMENT"
"Annual",35213,40495,"External","00",1,"STUDENT LEGAL SPECIALIST","LAW DEPARTMENT"
"Annual",53051,145991,"External","M1",1,"COMPUTER SYSTEMS MANAGER","FIRE DEPARTMENT"
"Annual",58050,82444,"External","03",1,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",58050,82444,"Internal","03",1,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",40000,69027,"Internal","00",1,"SPECIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",53051,145991,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF SANITATION"
"Annual",53051,145991,"External","M1",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF SANITATION"
"Annual",75000,90000,"Internal","00",1,"IT PROJECT SPECIALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",75000,90000,"External","00",1,"IT PROJECT SPECIALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",40000,69027,"External","00",1,"SPECIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",48764,60000,"Internal","02",1,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",48764,60000,"External","02",1,"CONFIDENTIAL INVESTIGATOR","DEPARTMENT OF INVESTIGATION"
"Annual",48535,132061,"Internal","00",2,"ADM ENGINEER (NON MGRL)","DEPT OF DESIGN & CONSTRUCTION"
"Annual",48535,132061,"External","00",2,"ADM ENGINEER (NON MGRL)","DEPT OF DESIGN & CONSTRUCTION"
"Annual",90000,115000,"External","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",90000,115000,"Internal","04",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",95000,115000,"Internal","04",2,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",51177,101661,"External","01",1,"SR HEALTHCARE PROG PLAN ANLYST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",51177,101661,"Internal","01",1,"SR HEALTHCARE PROG PLAN ANLYST","DEPT OF HEALTH/MENTAL HYGIENE"
"Daily",328,328,"External","00",3,"RADIO REPAIR MECHANIC","FIRE DEPARTMENT"
"Annual",49796,49796,"Internal","01",1,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",49796,49796,"External","01",1,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",95000,115000,"External","04",2,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",48535,132061,"External","00",2,"ADM CONSTRUCTION PRJ MGR-NM","DEPT OF DESIGN & CONSTRUCTION"
"Annual",48535,132061,"Internal","00",2,"ADM CONSTRUCTION PRJ MGR-NM","DEPT OF DESIGN & CONSTRUCTION"
"Annual",48535,134433,"Internal","00",2,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",48535,134433,"External","00",2,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Daily",328,328,"Internal","00",3,"RADIO REPAIR MECHANIC","FIRE DEPARTMENT"
"Daily",364,364,"Internal","00",1,"STATIONARY ENGINEER (ELECTRIC)","DEPT OF ENVIRONMENT PROTECTION"
"Annual",58675,75000,"External","M2",1,"ADMIN CONTRACT SPECIALIST (PYR","DEPARTMENT OF BUSINESS SERV."
"Annual",58675,75000,"Internal","M2",1,"ADMIN CONTRACT SPECIALIST (PYR","DEPARTMENT OF BUSINESS SERV."
"Annual",46303,55000,"External","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF INFO TECH & TELECOMM"
"Annual",46303,55000,"Internal","01",1,"COMPUTER PROGRAMMER ANALYST","DEPT OF INFO TECH & TELECOMM"
"Daily",364,364,"External","00",1,"STATIONARY ENGINEER (ELECTRIC)","DEPT OF ENVIRONMENT PROTECTION"
"Annual",34644,57655,"Internal","00",2,"COMMUNITY ASSOCIATE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",34644,57655,"External","00",2,"COMMUNITY ASSOCIATE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",74066,92308,"Internal","01",1,"COMPUTER SPECIALIST (SOFTWARE)","FIRE DEPARTMENT"
"Annual",74066,92308,"External","01",1,"COMPUTER SPECIALIST (SOFTWARE)","FIRE DEPARTMENT"
"Annual",47839,70058,"Internal","02",1,"SCIENTIST (WATER ECOLOGY)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",47839,70058,"External","02",1,"SCIENTIST (WATER ECOLOGY)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",36499,61908,"Internal","01",1,"PROCUREMENT ANALYST","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",36499,61908,"External","01",1,"PROCUREMENT ANALYST","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",61031,80000,"External","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",61031,80000,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",58675,156793,"External","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",58675,156793,"Internal","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",57005,80000,"Internal","01",1,"AGENCY ATTORNEY","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",57005,80000,"External","01",1,"AGENCY ATTORNEY","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",90000,105000,"Internal","M4",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",90000,105000,"External","M4",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF CITYWIDE ADMIN SVCS"
"Annual",60000,65000,"External","00",1,"COMMUNITY COORDINATOR","HOUSING PRESERVATION & DVLPMNT"
"Annual",60000,65000,"Internal","00",1,"COMMUNITY COORDINATOR","HOUSING PRESERVATION & DVLPMNT"
"Annual",100000,100000,"Internal","00",1,"SENIOR IT ARCHITECT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",100000,100000,"External","00",1,"SENIOR IT ARCHITECT","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",100000,120000,"External","M1",1,"COMPUTER SYSTEMS MANAGER","FINANCIAL INFO SVCS AGENCY"
"Annual",100000,120000,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","FINANCIAL INFO SVCS AGENCY"
"Annual",67467,98882,"External","02",6,"ASSOCIATE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",67467,98882,"Internal","02",6,"ASSOCIATE PROJECT MANAGER","DEPT OF DESIGN & CONSTRUCTION"
"Annual",74066,100000,"External","01",1,"CERT IT DEVELOPER (APP)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",74066,100000,"Internal","01",1,"CERT IT DEVELOPER (APP)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",48895,75900,"External","00",1,"COMMUNITY COORDINATOR","EQUAL EMPLOY PRACTICES COMM"
"Annual",53051,102000,"Internal","00",1,"ADMIN COMMUNITY RELATIONS SPEC","HRA/DEPT OF SOCIAL SERVICES"
"Annual",53051,102000,"External","00",1,"ADMIN COMMUNITY RELATIONS SPEC","HRA/DEPT OF SOCIAL SERVICES"
"Annual",69253,89000,"External","00",1,"COMPUTER SPECIALIST (OPERATION","DEPARTMENT OF FINANCE"
"Annual",77157,88730,"Internal","02",1,"COMPUTER SPECIALIST (SOFTWARE)","HRA/DEPT OF SOCIAL SERVICES"
"Annual",45385,52193,"Internal","01",1,"ACCOUNTANT","OFFICE OF THE COMPTROLLER"
"Annual",45385,52193,"Internal","01",1,"ACCOUNTANT","OFFICE OF THE COMPTROLLER"
"Annual",45385,52193,"External","01",1,"ACCOUNTANT","OFFICE OF THE COMPTROLLER"
"Annual",69252,69252,"Internal","00",1,"STAFF NURSE","HRA/DEPT OF SOCIAL SERVICES"
"Annual",69252,69252,"External","00",1,"STAFF NURSE","HRA/DEPT OF SOCIAL SERVICES"
"Annual",69253,89000,"Internal","00",1,"COMPUTER SPECIALIST (OPERATION","DEPARTMENT OF FINANCE"
"Annual",59589,59589,"Internal","02",18,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",59589,59589,"External","02",18,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",83323,100000,"Internal","03",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",83323,100000,"External","03",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",53051,120000,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",45385,52193,"Internal","01",1,"ACCOUNTANT","OFFICE OF THE COMPTROLLER"
"Annual",45385,52193,"External","01",1,"ACCOUNTANT","OFFICE OF THE COMPTROLLER"
"Annual",45385,52193,"Internal","01",1,"ACCOUNTANT","OFFICE OF THE COMPTROLLER"
"Annual",69252,69252,"Internal","00",1,"STAFF NURSE","HRA/DEPT OF SOCIAL SERVICES"
"Annual",69252,69252,"External","00",1,"STAFF NURSE","HRA/DEPT OF SOCIAL SERVICES"
"Annual",69252,69252,"External","00",1,"STAFF NURSE","HRA/DEPT OF SOCIAL SERVICES"
"Annual",69252,69252,"Internal","00",1,"STAFF NURSE","HRA/DEPT OF SOCIAL SERVICES"
"Annual",53051,120000,"External","M1",1,"COMPUTER SYSTEMS MANAGER","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",10,14,"External","01",8,"COLLEGE AIDE (ALL CITY DEPTS)","DEPT OF DESIGN & CONSTRUCTION"
"Hourly",10,14,"Internal","01",8,"COLLEGE AIDE (ALL CITY DEPTS)","DEPT OF DESIGN & CONSTRUCTION"
"Annual",74066,100000,"External","01",1,"CERT IT DEVELOPER (APP)","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",59589,59589,"External","02",2,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",59589,59589,"Internal","02",2,"CRIMINALIST","DEPT OF HEALTH/MENTAL HYGIENE"
